1|1|70010|"Алма-Ата II"|-1|1900
1|2|70000|"Алма-Ата I"|1914|1914
1|3|70330|"Отар"|2043|2043
1|4|70310|"Чокпар"|2130|2130
1|5|70530|"Чиганак"|2339|2339
1|6|70550|"Сары-Шаган"|2501|2501
1|7|67730|"Мойынты"|2604|2604
1|8|67724|"Киик"|2631|2631
1|9|67722|"Босага"|2656|2656
1|10|67720|"Акадыр"|2722|2722
1|11|67592|"Нилды"|2751|2751
1|12|67590|"Жарык"|2806|2806
1|13|67390|"Караганды"|2915|2915
1|14|67300|"Караганда-Сортировочная"|2934|2934
1|15|67320|"Нура (бывш. Нуринская)"|2946|2946
1|16|67330|"Мырза"|2951|2951
1|17|67340|"Шокай"|3006|3006
1|18|67360|"Осакаровка"|3033|3033
1|19|69040|"Вишневка"|3058|3058
1|20|69000|"Астана (бывш. Акмола)"|3135|-1
2|1|69000|"Астана (бывш. Акмола)"|-1|1925
2|2|69040|"Вишневка"|2004|2004
2|3|67360|"Осакаровка"|2030|2030
2|4|67340|"Шокай"|2057|2057
2|5|67330|"Мырза"|2113|2113
2|6|67320|"Нура (бывш. Нуринская)"|2118|2118
2|7|67300|"Караганда-Сортировочная"|2131|2131
2|8|67390|"Караганды"|2144|2154
2|9|67590|"Жарык"|2301|2301
2|10|67592|"Нилды"|2315|2315
2|11|67720|"Акадыр"|2343|2343
2|12|67722|"Босага"|2408|2408
2|13|67724|"Киик"|2432|2432
2|14|67730|"Мойынты"|2459|2459
2|15|70550|"Сары-Шаган"|2608|2608
2|16|70530|"Чиганак"|2725|2725
2|17|70310|"Чокпар"|2931|2931
2|18|70330|"Отар"|3016|3016
2|19|70000|"Алма-Ата I"|3142|3142
2|20|70010|"Алма-Ата II"|3147|-1
7|1|70010|"Алма-Ата II"|-1|511
7|2|70000|"Алма-Ата I"|533|541
7|3|70330|"Отар"|815|815
7|4|70310|"Чокпар"|936|936
7|5|70460|"Чу"|1048|1048
7|6|70450|"Луговая"|1241|1241
7|7|70630|"Джамбул"|1446|1446
7|8|70590|"Бурное"|1601|1601
7|9|69970|"Тюлькубас"|1654|1654
7|10|69930|"Манкент"|1814|1814
7|11|69860|"Чимкент"|1852|1852
7|12|69840|"Бадам"|1940|1940
7|13|69801|"Оп Арысь II"|2034|2034
7|14|69800|"Арысь I"|2036|2036
7|15|69770|"Тимур"|2144|2144
7|16|69780|"Туркестан"|2252|2252
7|17|67280|"Шорнак"|2317|2317
7|18|67273|"Сауран"|2329|2329
7|19|67270|"Беш-Арык"|2357|2357
7|20|67260|"Талап"|2408|2408
7|21|67250|"Яны-Курган"|2446|2446
7|22|67240|"Тюмень-Арык"|2510|2510
7|23|67222|"Рзд Екпенды"|2519|2519
7|24|67220|"Чиили"|2538|2538
7|25|67190|"Соло-Тюбе"|2655|2655
7|26|67180|"Белкуль"|2737|2737
